id_account,nome_club,nome_account_locale,identificativo_lions,tipo,circoscrizione,zona,distretto,multidistretto,id_organizzazione_appartenenza,parent_parent_id,parent_district_id,id_md_appartenenza,identificativo_lions_affiliato
001Ns00000EDLLx,PESCIA,PESCIA,49559,Lions Club,4° circoscrizione,Zone: G,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDJAh,PIETRASANTA VERSILIA STORICA,PIETRASANTA VERSILIA STORICA,59396,Lions Club,4° circoscrizione,Zone: G,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDlRW,PIOMBINO,PIOMBINO,21203,Lions Club,5° circoscrizione,Zone: L,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDhrj,PISA CERTOSA,PISA CERTOSA,55431,Lions Club,5° circoscrizione,Zone: I,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDlRX,PISA HOST,PISA HOST,21204,Lions Club,5° circoscrizione,Zone: I,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDlRY,PISTOIA,PISTOIA,21205,Lions Club,3° Circoscrizione,Zone: F,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDe7m,PISTOIA FUORCIVITAS,PISTOIA FUORCIVITAS,97660,Lions Club,3° Circoscrizione,Zone: F,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDdv4,POGGIO A CAIANO - CARMIGNANO - MEDICEI,POGGIO A CAIANO - CARMIGNANO - MEDICEI,44758,Lions Club,3° Circoscrizione,Zone: E,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDaGp,PONTASSIEVE - STIBBERT,PONTASSIEVE - STIBBERT,43907,Lions Club,2° Circoscrizione,Zone: C,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDlRZ,PONTEDERA,PONTEDERA,21206,Lions Club,5° circoscrizione,Zone: I,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDb4q,PONTEDERA VALDERA,PONTEDERA VALDERA,64377,Lions Club,5° circoscrizione,Zone: I,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDlRa,PONTREMOLI LUNIGIANA,PONTREMOLI LUNIGIANA,21207,Lions Club,4° circoscrizione,Zone: H,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDhq0,PRATO CASTELLO DELL'IMPERATORE,PRATO CASTELLO DELL'IMPERATORE,55324,Lions Club,3° Circoscrizione,Zone: E,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDgez,PRATO CENTRO,PRATO CENTRO,109030,Lions Club,3° Circoscrizione,Zone: E,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDgYX,PRATO CURZIO MALAPARTE,PRATO CURZIO MALAPARTE,88402,Lions Club,3° Circoscrizione,Zone: E,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDgq5,PRATO DATINI,PRATO DATINI,45597,Lions Club,3° Circoscrizione,Zone: E,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDlRc,PRATO HOST,PRATO HOST,21209,Lions Club,3° Circoscrizione,Zone: E,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDees,QUARRATA-AGLIANA PIANURA PISTOIESE,QUARRATA-AGLIANA PIANURA PISTOIESE,44999,Lions Club,3° Circoscrizione,Zone: F,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDhrk,SAN GIMIGNANO VIA FRANCIGENA,SAN GIMIGNANO VIA FRANCIGENA,55432,Lions Club,6° circoscrizione,Zone: O,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDlRk,SAN MINIATO,SAN MINIATO,21217,Lions Club,5° circoscrizione,Zone: I,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDlRl,SANSEPOLCRO,SANSEPOLCRO,21218,Lions Club,7° circoscrizione,Zone: P,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDMDG,SERRAVALLE PISTOIESE,SERRAVALLE PISTOIESE,60324,Lions Club,3° Circoscrizione,Zone: F,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDlRo,SESTO FIORENTINO,SESTO FIORENTINO,21221,Lions Club,2° Circoscrizione,Zone: C,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDlRp,SIENA,SIENA,21222,Lions Club,6° circoscrizione,Zone: O,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDMgT,"Siena ""Torre di Mezzo""","Siena ""Torre di Mezzo""",123824,Lions Club,6° circoscrizione,Zone: O,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDOo4,Vaglia,Vaglia,144968,Lions Club,2° Circoscrizione,Zone: C,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDFSv,VALDARNO HOST,VALDARNO HOST,36994,Lions Club,7° circoscrizione,Zone: Q,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDqoP,VALDARNO MASACCIO,VALDARNO MASACCIO,58074,Lions Club,7° circoscrizione,Zone: Q,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDlRx,VALDELSA,VALDELSA,21230,Lions Club,6° circoscrizione,Zone: O,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDfsf,VALDICHIANA I CHIARI,VALDICHIANA I CHIARI,88201,Lions Club,6° circoscrizione,Zone: N,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDm7x,Valle del Serchio,Valle del Serchio,150813,Lions Club,4° circoscrizione,Zone: G,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000NOnK5,Viareggio Giacomo Puccini,Viareggio Giacomo Puccini,177502,Lions Club,4° circoscrizione,Zone: H,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDlRy,VIAREGGIO HOST,VIAREGGIO HOST,21231,Lions Club,4° circoscrizione,Zone: H,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDe4C,VINCI LEONARDO DA VINCI,VINCI LEONARDO DA VINCI,54374,Lions Club,1° circoscrizione,Zone: B,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDlS1,VOLTERRA,VOLTERRA,21234,Lions Club,5° circoscrizione,Zone: I,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDgRMIA1,ABETONE MONTAGNA PISTOIESE,,,,3° Circoscrizione,Zone: F,District 108 LA,Multiple District 108,,,,,
